"query","restaurant_name","restaurant_id","label","reason","district","cuisines","source"
"Gợi ý một quán ăn chay ở quận 5 có nhiều lượt yêu thích","Nhà Hàng Thuần Chay Omina - Nam Kỳ Khởi Nghĩa","1014838","1","Nhà hàng không ở quận 5 mà ở quận 3, dù lượt yêu thích cao.","Quận 3","Món Việt","pinecone"
"Gợi ý một quán ăn chay ở quận 5 có nhiều lượt yêu thích","Quán Chay 95 Ơi!","1000066131","1","Nhà hàng không ở quận 5, lượt yêu thích không nhiều.","Quận 4","Món Miền Nam","pinecone"
"Gợi ý một quán ăn chay ở quận 5 có nhiều lượt yêu thích","Cái Gì Đó Coffee","268488","0","Không phải quán chay và không ở quận 5.","Quận 1","Món Việt","pinecone"
"Gợi ý một quán ăn chay ở quận 5 có nhiều lượt yêu thích","Bếp Chay Prana","1043464","0","Không ở quận 5 mà ở quận 1, không nhiều lượt yêu thích trong quận 5.","Quận 1","Món Việt","pinecone"
"Gợi ý một quán ăn chay ở quận 5 có nhiều lượt yêu thích","Quán Chay 103","316252","0","Không ở quận 5, ở quận 1, không nhiều lượt yêu thích quận 5.","Quận 1","Món Việt","pinecone"
"Gợi ý một quán ăn chay ở quận 5 có nhiều lượt yêu thích","Ẩm Thực Chay Tâm Đức","707526","0","Không ở quận 5 mà ở quận Gò Vấp.","Quận Gò Vấp","Món Việt","pinecone"
"Gợi ý một quán ăn chay ở quận 5 có nhiều lượt yêu thích","Nưa - Nhà Hàng Chay","1036443","0","Không ở quận 5 mà ở quận 1.","Quận 1","Món Việt","pinecone"
"Gợi ý một quán ăn chay ở quận 5 có nhiều lượt yêu thích","Quán Chay Tâm Ý","726028","0","Không ở quận 5 mà ở quận 6.","Quận 6","Món Việt","pinecone"
"Gợi ý một quán ăn chay ở quận 5 có nhiều lượt yêu thích","Ước Mơ Chay - Cơm Chay & Buffet Chay","1015844","0","Không ở quận 5 mà ở quận Gò Vấp.","Quận Gò Vấp","Món Việt","pinecone"
"Gợi ý một quán ăn chay ở quận 5 có nhiều lượt yêu thích","Chay Garden Restaurant & Coffee","805192","0","Không ở quận 5 mà ở quận 3.","Quận 3","Món Việt","pinecone"
"Gợi ý một quán ăn chay ở quận 5 có nhiều lượt yêu thích","Quán Thuần Chay Sức Khỏe Là Vàng","178001","0","Không ở quận 5 mà ở quận Bình Thạnh.","Quận Bình Thạnh","Quốc tế","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Quán An - Ẩm Thực Việt Nam","62470","0","Quán ở Quận 1, không phải Quận 6","Quận 1","Món Việt","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Quán Hai Mập - Cơm Gà Da Giòn & Hủ Tiếu Mì Xào","694444","4","Quán ở Quận 6, món Việt, giá bình dân phù hợp yêu cầu","Quận 6","Món Việt","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Nhà Hàng Hương Việt - Ẩm Thực Việt","708452","0","Quán ở Quận 1, không thuộc Quận 6","Quận 1","Món Việt || Món Âu","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Món Việt Hoàng Châu - Bến Thành Street Food Market","917737","0","Quán ở Quận 1, không phải Quận 6","Quận 1","Món Việt","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Hủ Tiếu, Mì, Nui & Bánh Canh - Ngô Quyền","748392","0","Quán ở Tp. Thủ Đức, không phải Quận 6","Tp. Thủ Đức","Món Việt","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Trống Cơm Chảo Cá - Cơm Việt & Chả Cá Lã Vọng - Vạn Hạnh Mall","869922","0","Quán ở Quận 10, không phải Quận 6","Quận 10","Món Việt","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Xíu Mại Chảo","935837","4","Quán ở Quận 6, món Việt, giá bình dân phù hợp","Quận 6","Món Việt","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Quán Ăn 109 - Khuông Việt","889106","0","Quán ở Quận Tân Phú, không phải Quận 6","Quận Tân Phú","Món Việt","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Quán Bà Năm - Cháo Gỏi Vịt - Lê Văn Việt","999979","0","Quán ở Quận 9, không phải Quận 6","Quận 9","Món Việt","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Cơm Nhà Việt Hoa","976800","4","Quán món Việt, giá bình dân, ở Quận 6 phù hợp","Quận 6","Món Việt","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Mekong Kitchen - Vietnamese Cuisine - Nguyễn Thái Bình","695223","0","Quán ở Quận 1, không phải Quận 6","Quận 1","Món Việt","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Món Ngon Đất Việt","764466","0","Quán ở Quận 7, không phải Quận 6","Quận 7","Món Việt","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Ẩm Thực Hoa Viên Sơn Thủy - Món Ăn Thuần Việt","717527","0","Quán ở Quận 9, giá cao không bình dân","Quận 9","Món Việt","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Phố Ốc 1 - Lê Văn Việt","902865","0","Quán ở Quận 9, không phải Quận 6","Quận 9","Món Việt","pinecone"
"Quận 6 có quán nào món Việt mà giá bình dân không","Việt Trung - Quán Ăn Gia Đình","184925","0","Quán ở Quận Tân Phú, không phải Quận 6","Quận Tân Phú","Món Việt","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","Fly Cupcake Tú Xương","6676","1","Quán không ở Tp. Thủ Đức, chỉ phù hợp với cặp đôi và là quán dessert.","Quận 3","Món Việt","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","Panna Cotta Lắk Lắk","937410","1","Quán là dessert nhưng không ở Tp. Thủ Đức, không hướng đến cặp đôi.","Quận 11","Món Việt","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","Trop B Dessert - Nguyễn Thị Minh Khai","1403","1","Quán dessert nhưng ở Quận 3, chỉ phù hợp cặp đôi khi xem đối tượng.","Quận 3","Món Việt","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","An An's - Tea & Cake - Tô Vĩnh Diện","708686","4","Quán dessert, ở Tp. Thủ Đức, phù hợp với đối tượng cặp đôi.","Tp. Thủ Đức","Món Việt","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","D'cious - Pizza Tea Coffee","944128","4","Quán dessert, ở Tp. Thủ Đức, hướng đến cặp đôi.","Tp. Thủ Đức","Món Việt","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","Bánh Nhớ Nhung - Panna Cotta & CheeseCake - Đình Phong Phú","1000049432","4","Quán dessert, ở Tp. Thủ Đức, phù hợp với cặp đôi.","Tp. Thủ Đức","Món Việt || Món Âu","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","Đẹp - Coffee & Trà Sữa","913548","0","Quán không ở Tp. Thủ Đức, không phải quán dessert.","Quận Tân Bình","Món Việt","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","Lickie Ice Dream - Nguyễn Huệ","221281","0","Quán không ở Tp. Thủ Đức.","Quận 1","Món Việt","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","Cô Dzón - Food & Drink - Shop Online","959986","0","Quán không ở Tp. Thủ Đức, không phải quán dessert chuyên biệt.","Quận Bình Tân","Món Việt","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","Tiramisu & Bánh Kem G-Cake","1000057119","0","Quán không ở Tp. Thủ Đức.","Quận 12","Món Việt || Món Âu","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","COCO SUMMER Desserts","102923","1","Quán dessert nhưng không ở Tp. Thủ Đức.","Quận 3","Món Việt","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","CherryBB Cake & Dink","642924","3","Quán dessert, ở Tp. Thủ Đức, đối tượng không có cặp đôi.","Tp. Thủ Đức","Món Việt","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","Ice Dream - Kem Trái Cây - Pandora City","194176","0","Quán không ở Tp. Thủ Đức.","Quận Tân Phú","Món Việt","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","Lickie Ice Dream - Huỳnh Thúc Kháng","199204","0","Quán không ở Tp. Thủ Đức.","Quận 1","Ý","pinecone"
"Mình muốn tìm quán dessert ở Tp. Thủ Đức được cặp đôi thích","Quế Nhi Tea & Cake","987703","0","Quán không ở Tp. Thủ Đức.","Quận Bình Tân","Món Việt","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","La Chola De Lima","708045","1","Quán ở quận 1 và mở cửa thứ hai nhưng giờ mở cửa bắt đầu từ 17:00, không phù hợp tiếp khách vào trưa.","Quận 1","Món Âu","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","Amun Restaurant & Lounge","749572","4","Quán ở quận 1, mở cửa trưa thứ hai, không gian đẹp (8.8), phù hợp tiếp khách trưa.","Quận 1","Ả Rập","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","Scott & Jeremy's - Ẩm Thực Tây Âu","216961","4","Quán ở quận 1, mở cửa trưa thứ hai, không gian tốt (8.11), hợp tiếp khách trưa.","Quận 1","Mỹ || Singapore","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","Mr. Ho Bistro - Quán Ăn & Cafe","650332","2","Quán ở quận 1, mở cửa trưa thứ hai, không gian chưa đánh giá chất lượng, phù hợp trung bình.","Quận 1","Món Việt","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","The Greenhouse - Pizza, Pasta & Salad","974252","0","Quán không ở quận 1.","Quận 7","Món Việt","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","RuNam Boutique - Estella Place","882305","0","Quán không ở quận 1.","Tp. Thủ Đức","Món Việt","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","Trung Tâm Hội Nghị 272","42716","0","Quán không ở quận 1.","Quận 3","Món Việt || Món Á || Món Âu","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","52/3 - Kitchen & Bar","875587","4","Quán ở quận 1, mở cửa trưa thứ hai, không gian tốt (7.4), phù hợp tiếp khách trưa.","Quận 1","Món Việt","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","AHA Grill & Bar","884605","4","Quán ở quận 1, mở cửa trưa thứ hai, không gian đẹp (9.5), phù hợp tiếp khách trưa.","Quận 1","Món Á || Món Âu","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","Lava Cuisine & Lounge - Asian Fusion Food & Lounge","1058155","1","Quán ở quận 1 nhưng mở cửa thứ hai từ 00:01, không mở vào trưa.","Quận 1","","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","Xoay Dining Lounge","868094","1","Quán ở quận 1 mở cửa thứ hai từ 16:00, không phù hợp tiếp khách trưa.","Quận 1","Món Á || Món Âu","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","Canteen - Cafe, Bar & Grill","311544","1","Quán ở quận 1, mở cửa trưa thứ hai nhưng không gian bình thường và review xấu.","Quận 1","Món Việt","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","The Long @Times Square","92885","4","Quán ở quận 1, mở cửa trưa thứ hai, không gian tốt (8.46), phù hợp tiếp khách trưa.","Quận 1","Quốc tế || Món Âu","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","G5 Restaurant & Lounge","943008","1","Quán ở quận 1 nhưng mở cửa thứ hai từ 00:01, không mở trưa.","Quận 1","Quốc tế","pinecone"
"Có nhà hàng nào ở quận 1 hợp tiếp khách vào trưa thứ hai mà không gian đẹp không","Anan Kitchen & Bar","631947","1","Quán ở quận 1 nhưng mở cửa từ 17:00, không phù hợp tiếp khách trưa.","Quận 1","Món Việt || Bánh Pizza || Món Trung Hoa","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","B Coffee House & Food Beer","931587","0","Quán ở Quận 7, không phải Quận 10; check-in thấp.","Quận 7","Món Việt || Món Thái","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","Funny Rooftop Coffee Beer","1004948","0","Quán ở Quận 1, không phải Quận 10; giá cao.","Quận 1","Món Việt","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","Check In Cafe ","108976","1","Quán ở Quận Gò Vấp, không đúng quận; có một số check-in, giá rẻ.","Quận Gò Vấp","Món Việt","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","The Reverie Boutique","94867","0","Quán ở Quận 1, không phải Quận 10.","Quận 1","Món Việt || Quốc tế","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","Canteen - Cafe, Bar & Grill","311544","0","Quán ở Quận 1, không phải Quận 10; không có check-in.","Quận 1","Món Việt","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","Avatar - Beer Lounge","691971","0","Quán ở Quận 1, không phải Quận 10; giá cao.","Quận 1","Món Việt","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","Koheis Bar","1035338","0","Quán ở Quận 1, không phải Quận 10; giá cao, ít check-in.","Quận 1","Quốc tế","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","Perhwis Food","254976","0","Quán ở Quận 1, không phải Quận 10.","Quận 1","Món Việt","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","Urban Basement - Craft Beer & Kitchen","697131","0","Quán ở Quận 1, không phải Quận 10; ít check-in.","Quận 1","Quốc tế","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","La Chola De Lima","708045","0","Quán ở Quận 1, không phải Quận 10; không có check-in.","Quận 1","Món Âu","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","Mr. Ho Bistro - Quán Ăn & Cafe","650332","0","Quán ở Quận 1, không phải Quận 10.","Quận 1","Món Việt","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","Ideal Studio & Cafe","215901","3","Quán đúng Quận 10, giá cả hợp lý, nhưng không có nhiều check-in.","Quận 10","Món Miền Nam","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","Warning Zone - 72 Lý Tự Trọng","90003","0","Quán ở Quận 1, không phải Quận 10.","Quận 1","Món Việt","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","The 101 Cafe & Studio","101880","0","Quán ở Quận 7, không phải Quận 10.","Quận 7","Món Việt","pinecone"
"Cho mình một quán ăn ở quận 10 có nhiều check-in và giá cả hợp lý","Lugardecita Sài Gòn","1042774","0","Quán ở Quận 1, không phải Quận 10; không có check-in.","Quận 1","Món Việt","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","Ngự Quán - Ẩm Thực Huế - Tân Lập 2","766547","0","Không đúng quận 3, phục vụ điểm rất thấp và review xấu","Tp. Thủ Đức","Món Miền Trung","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","Huế Của Ta - Asiana Food Town","792374","1","Không đúng quận 3, phục vụ không đánh giá, chỉ phù hợp món Huế","Quận 1","Món Huế","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","Kỳ Ngộ Quán - Đặc Sản Huế","721388","4","Đúng quận 3, món Huế và phục vụ tốt, review Good","Quận 3","Món Huế","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","Ngự Quán - Ẩm Thực Huế - Xuân Quỳnh","984402","1","Không phải món Huế chính, không đúng quận 3","Tp. Thủ Đức","Món Việt","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","Góc Huế - Chuyên Món Huế","1003211","4","Đúng quận 3, món Huế, phục vụ rất tốt và review Excellent","Quận 3","Món Huế","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","Món Ăn Huế - Bún Mắm Nêm, Lòng Xào Nghệ & Bánh Bèo Nậm Lọc","1048541","2","Đúng quận 3, món Miền Trung liên quan món Huế, không đánh giá phục vụ","Quận 3","Món Miền Trung","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","Rất Huế - Ẩm Thực Miền Trung","263675","1","Không đúng quận 3, phục vụ tốt nhưng vị trí không phù hợp","Quận Gò Vấp","Món Huế","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","Quán Huế Hạnh Dung","281323","2","Đúng quận 3 nhưng món chính Món Việt, phục vụ tốt","Quận 3","Món Việt","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","The Huế House - Nhà Hàng Huế","642367","4","Đúng quận 3, món Huế, phục vụ tốt, review Good","Quận 3","Món Huế","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","Quán Huế Thương - Chuyên Các Món Huế","299471","1","Không đúng quận 3, món Huế, phục vụ khá tốt","Tp. Thủ Đức","Món Huế","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","Hương Giang - Quán Đặc Sản Huế","684322","1","Không đúng quận 3, món Huế, phục vụ tốt","Quận Tân Bình","Món Huế","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","Yummy - Món Huế & Ăn Vặt","964610","1","Không đúng quận 3, phục vụ thấp và review xấu","Quận 9","Món Huế","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","Tư Ngon - Phở & Bún Bò Huế","745295","0","Không đúng quận 3, không có review phục vụ","Tp. Thủ Đức","Món Việt","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","Huế Của Ta - Bà Huyện Thanh Quan","861854","1","Đúng quận 3, món Huế nhưng phục vụ kém, review xấu","Quận 3","Món Huế","pinecone"
"Mình cần quán món Huế ở quận 3 được đánh giá phục vụ tốt","Góc Huế An Tâm - Food Central Ngô Đức Kế","685689","1","Không đúng quận 3, không có đánh giá phục vụ","Quận 1","Món Huế","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","Quán Ăn Tài Trí - Quán Ăn Gia Đình","225393","2","Đúng vị trí Gò Vấp, phù hợp gia đình nhưng lượt yêu thích rất thấp.","Quận Gò Vấp","Món Việt || Món Trung Hoa","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","Quán Ăn Gia Đình 212 - Đồ Nướng & Lẩu","895274","2","Chính xác vị trí và phù hợp gia đình nhưng không có lượt yêu thích, chất lượng chưa đánh giá.","Quận Gò Vấp","Món Việt","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","Tây Nguyên Quán - Quán Ăn Gia Đình","639907","3","Vị trí Gò Vấp chuẩn, nhiều lượt xem nhưng thiếu đánh giá chất lượng, phù hợp gia đình.","Quận Gò Vấp","Tây Nguyên","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","Diễm Phúc - Quán Ăn Gia Đình","704441","3","Đúng vị trí, phù hợp gia đình, có lượt yêu thích, chất lượng tốt, nhưng lượt yêu thích chỉ vừa phải.","Quận Gò Vấp","Món Việt","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","Quán Ăn Như Ý","790855","0","Nằm ngoài khu vực Gò Vấp.","Quận 12","Món Việt","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","Nhân Quán - Quán Ăn Gia Đình","749140","2","Nằm tại Gò Vấp, phù hợp gia đình nhưng lượt yêu thích trung bình, thiếu đánh giá chất lượng.","Quận Gò Vấp","Món Việt","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","Tài Ký 2 - Quán Ăn Gia Đình","784619","0","Không thuộc Quận Gò Vấp.","Quận 7","Món Việt","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","Quán Lâm - Quán Ăn Gia Đình","1028929","3","Chuẩn khu vực Gò Vấp, phù hợp gia đình, chất lượng tốt nhưng thiếu lượt yêu thích nổi bật.","Quận Gò Vấp","Món Việt","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","Quán Thu Thảo - Quán Ăn Gia Đình","703159","2","Nằm trong Gò Vấp, nhóm khách phù hợp gia đình nhưng lượt xem và yêu thích thấp.","Quận Gò Vấp","Món Việt","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","4 Số Chín - Quán Ăn Gia Đình","677626","2","Vị trí đúng, phù hợp gia đình, thiếu lượt yêu thích và đánh giá chất lượng.","Quận Gò Vấp","Món Việt","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","Quán Ăn Gia Đình Bạn Tôi - Nguyễn Thượng Hiền","137182","4","Nằm tại Gò Vấp, phù hợp gia đình, nhiều lượt yêu thích và hoạt động cả cuối tuần.","Quận Gò Vấp","Món Việt","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","Ẩm Thực Tri Kỷ - Gà Hấp Ớt Hiểm","671975","2","Chuẩn vị trí và nhóm khách, nhưng thiếu lượt yêu thích rõ ràng và đánh giá chất lượng.","Quận Gò Vấp","Món Việt","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","Gà Gọi - Quán Ăn Gia Đình","803458","2","Đúng vị trí, phù hợp gia đình, có đặt bàn, nhưng hoạt động ban ngày và thiếu lượt yêu thích nổi bật.","Quận Gò Vấp","Món Việt","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","Quán Ăn Tây Hồ 01","639439","1","Vị trí chuẩn Gò Vấp, phù hợp gia đình nhưng lượt yêu thích và đánh giá thấp.","Quận Gò Vấp","Hà Nội","pinecone"
"Gợi ý giúp mình quán ăn ở Gò Vấp phù hợp gia đình, nhiều lượt yêu thích và hợp đi cuối tuần","An Nhiên Quán","247117","2","Thuộc Gò Vấp, phù hợp gia đình nhưng thiếu lượt yêu thích và đánh giá chất lượng.","Quận Gò Vấp","Món Việt","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","Flex - The Loft Bar","212642","0","Không ở Quận 7, không phù hợp vị trí.","Quận 1","Món Việt","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","Avatar - Beer Lounge","691971","0","Không ở Quận 7, không phù hợp vị trí.","Quận 1","Món Việt","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","The Seventh Barista","1045508","1","Ở Quận 7 nhưng là quán cafe, không phải bar/pub.","Quận 7","Món Việt","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","Funny Rooftop Coffee Beer","1004948","0","Không ở Quận 7, không phù hợp vị trí.","Quận 1","Món Việt","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","Lost Boys Sports Bar & Grill","770565","4","Quán bar/pub ở Quận 7, không gian tốt (8.0 điểm).","Quận 7","Món Việt","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","Bengal Vintage Rooftop Lounge","741827","0","Không ở Quận 7, không phù hợp vị trí.","Quận 1","Món Nhật || Món Hàn","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","The Gin House Coffee Bar","240895","0","Không ở Quận 7, không phù hợp vị trí.","Quận 1","Món Việt","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","Local Bar","708073","0","Không ở Quận 7, không phù hợp vị trí.","Quận 1","Món Việt","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","B Coffee House & Food Beer","931587","3","Quán bar/pub ở Quận 7 nhưng không gian chưa có điểm, phù hợp vị trí.","Quận 7","Món Việt || Món Thái","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","Anchor Wine Boutique & Gastro Pub","933937","4","Bar/pub ở Quận 7, không gian xuất sắc (9.67 điểm).","Quận 7","Quốc tế","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","The Mixx Skylounge","789548","0","Không ở Quận 7, không phù hợp vị trí.","Quận 1","Món Việt","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","Apt852 Bar","875775","0","Không ở Quận 7, không phù hợp vị trí.","Quận 1","Món Việt","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","Den The Bar","782717","0","Không ở Quận 7, không phù hợp vị trí.","Quận 3","Quốc tế","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","Republic - Lounge & Bar","683347","0","Không ở Quận 7, không phù hợp vị trí.","Quận 1","Món Việt || Châu Mỹ","pinecone"
"Ở quận 7 có quán bar/pub nào có không gian ổn không","Phường - Cafe & Beer","999458","1","Ở Quận 7 nhưng là cafe, không phải bar/pub.","Quận 7","Món Việt","pinecone"
"Mình muốn tìm nhà hàng món Âu ở quận 2 có vị trí đẹp cho tối thứ bảy","Niche - Nhà Hàng Âu Á","271161","3","Có món Âu, vị trí Quận 2, mở cửa tối thứ bảy; không rõ vị trí đẹp.","Quận 2","Quốc tế","pinecone"
"Mình muốn tìm nhà hàng món Âu ở quận 2 có vị trí đẹp cho tối thứ bảy","Nhà Hàng Twenty One - Ẩm Thực Á Âu","238494","1","Món Âu có nhưng ở Quận 3, không đúng vị trí quận 2.","Quận 3","Món Á || Món Âu","pinecone"
"Mình muốn tìm nhà hàng món Âu ở quận 2 có vị trí đẹp cho tối thứ bảy","La Chola De Lima","708045","1","Có món Âu nhưng ở Quận 1, vị trí không phù hợp.","Quận 1","Món Âu","pinecone"
"Mình muốn tìm nhà hàng món Âu ở quận 2 có vị trí đẹp cho tối thứ bảy","The Place - Món Âu","122704","1","Có món Âu nhưng ở Quận 1, vị trí bất phù hợp.","Quận 1","Món Việt || Món Âu","pinecone"
